"","species","probabilities","labels"
"Spheniscus_humboldti","Spheniscus_humboldti",1,1
"Spheniscus_urbinai","Spheniscus_urbinai",0.57612787755354,0.576
"Spheniscus_megaramphus","Spheniscus_megaramphus",0.148429303215454,0.148
"Spheniscus_muizoni","Spheniscus_muizoni",0.718508918101586,0.719
"Palaeospheniscus_bergi","Palaeospheniscus_bergi",0.429673517249892,0.43
"Platydyptes_novaezealandiae","Platydyptes_novaezealandiae",0.960871443559835,0.961
"Paraptenodytes_antarcticus","Paraptenodytes_antarcticus",6.17169659939517e-05,0
"Palaeeudyptes_klekowskii","Palaeeudyptes_klekowskii",0.402456335246559,0.402
"Palaeeudyptes_gunnari","Palaeeudyptes_gunnari",0.571560822069987,0.572
"Anthropornis_nordenskjoeldi","Anthropornis_nordenskjoeldi",0.0132691476886996,0.013
"Anthropornis_grandis","Anthropornis_grandis",0.00555452693945566,0.006
"Delphinornis_wimani","Delphinornis_wimani",0.77306671604024,0.773
"Delphinornis_larseni","Delphinornis_larseni",0.5775473677714,0.578
"Mesetaornis_polaris","Mesetaornis_polaris",0.0406714805900142,0.041
"Marambiornis_exilis","Marambiornis_exilis",0.145652039745726,0.146
"Muriwaimanu_tuatahi","Muriwaimanu_tuatahi",0.462383509226686,0.462
"Pygoscelis_grandis","Pygoscelis_grandis",0.106955502067518,0.107
"Palaeeudyptes_antarcticus","Palaeeudyptes_antarcticus",0.177806579028575,0.178
"Madrynornis_mirandus","Madrynornis_mirandus",0.499722273653027,0.5
"Marplesornis_novaezealandiae","Marplesornis_novaezealandiae",0.0019132259458125,0.002
"Palaeospheniscus_biloculata","Palaeospheniscus_biloculata",0.279022403258656,0.279
"Palaeospheniscus_patagonicus","Palaeospheniscus_patagonicus",0.347219650681972,0.347
"Eretiscus_tonnii","Eretiscus_tonnii",0.02561254088749,0.026
"Platydyptes_marplesi","Platydyptes_marplesi",0.184163426525952,0.184
"Archaeospheniscus_lopdelli","Archaeospheniscus_lopdelli",0.293834475097204,0.294
"Archaeospheniscus_lowei","Archaeospheniscus_lowei",0.143430228969944,0.143
"Pachydyptes_ponderosus","Pachydyptes_ponderosus",0.31204098006542,0.312
"Perudyptes_devriesi","Perudyptes_devriesi",0.244152317472073,0.244
"Icadyptes_salasi","Icadyptes_salasi",0.486885144726285,0.487
"Inkayacu_paracasensis","Inkayacu_paracasensis",0.072949453804851,0.073
"Burnside_Palaeeudyptes","Burnside_Palaeeudyptes",0.113682651360859,0.114
"Kairuku_waitaki","Kairuku_waitaki",0.158859470468432,0.159
"Kairuku_grebneffi","Kairuku_grebneffi",0.0619021168919336,0.062
"Delphinornis_gracilis","Delphinornis_gracilis",0.0465345923594396,0.047
"Delphinornis_arctowskii","Delphinornis_arctowskii",0.142874776275998,0.143
"Waimanu_manneringi","Waimanu_manneringi",0.549157563414183,0.549
"Duntroonornis_parvus","Duntroonornis_parvus",0.300067888662593,0.3
